Aerobic Activities,Unnamed_1,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9,Unnamed_10,Unnamed_11
,Definition,2018,2019,2020,2021,2022,2023,1-year change,3-year change,3-year AAG,5-year AAG
Aquatic Exercise,,,,,,,,,,,
Total participation,,"10,518","11,189","10,954","10,400","10,676","11,307",5.9%,3.2%,1.2%,1.6%
Casual,1-49 times,"7,391","8,006","8,331","8,347","8,626","9,298",7.8%,11.6%,3.8%,4.7%
CORE,50+ times,"3,127","3,183","2,623","2,053","2,050","2,009",-2.0%,-23.4%,-8.0%,-7.9%
Boot Camp Style Training,,,,,,,,,,,
Total participation,,"6,695","6,830","4,969","5,169","5,192","5,434",4.7%,9.4%,3.0%,-3.2%
Casual,1-49 times,"4,780","4,951","3,204","3,461","3,691","4,003",8.4%,24.9%,7.7%,-1.7%
CORE,50+ times,"1,915","1,880","1,765","1,709","1,500","1,432",-4.6%,-18.9%,-6.7%,-5.6%
Cardio Kickboxing,,,,,,,,,,,
Total participation,,"6,838","7,026","5,295","5,099","5,531","5,524",-0.1%,4.3%,1.6%,-3.4%
Casual,1-49 times,"4,712","4,990","3,438","3,328","3,958","3,929",-0.7%,14.3%,5.0%,-2.0%
CORE,50+ times,"2,126","2,037","1,857","1,771","1,573","1,596",1.4%,-14.1%,-4.8%,-5.5%
Cross-Training Style Workouts,,,,,,,,,,,
Total participation,,"13,338","13,542","9,179","9,764","9,248","9,404",1.7%,2.5%,0.9%,-5.6%
Casual,1-49 times,"6,594","7,100","3,476","4,179","4,281","4,391",2.6%,26.3%,8.4%,-3.6%
CORE,50+ times,"6,744","6,442","5,704","5,585","4,968","5,013",0.9%,-12.1%,-4.1%,-5.6%
"Dance, Step, and Other Choreographed Exercise to Music",,,,,,,,,,,
Total participation,,"22,391","23,957","25,160","24,752","25,163","26,241",4.3%,4.3%,1.4%,3.3%
Casual,1-49 times,"14,503","16,047","16,652","16,622","17,096","18,179",6.3%,9.2%,3.0%,4.7%
CORE,50+ times,"7,888","7,910","8,507","8,130","8,067","8,063",-0.1%,-5.2%,-1.8%,0.5%
Elliptical Motion/Cross-Trainer,,,,,,,,,,,
Total participation,,"33,238","33,056","27,920","27,618","27,051","27,062",0.0%,-3.1%,-1.0%,-3.8%
Casual,1-49 times,"16,889","17,175","14,403","14,156","14,968","13,898",-7.1%,-3.5%,-1.0%,-3.5%
CORE,50+ times,"16,349","15,880","13,517","13,461","12,083","13,164",8.9%,-2.6%,-0.6%,-3.9%
High Impact/Intensity Training,,,,,,,,,,,
Total participation,,"21,611","22,044","22,487","21,973","21,821","21,801",-0.1%,-3.0%,-1.0%,0.2%
Casual,1-49 times,"11,828","12,380","12,743","12,490","12,593","12,559",-0.3%,-1.4%,-0.5%,1.2%
CORE,50+ times,"9,783","9,665","9,744","9,483","9,228","9,242",0.1%,-5.2%,-1.7%,-1.1%
Running/Jogging,,,,,,,,,,,
Total participation,,"49,459","50,052","50,652","48,977","47,816","48,305",1.0%,-4.6%,-1.6%,-0.5%
Casual,1-49 times,"24,399","24,972","24,438","23,441","23,776","24,175",1.7%,-1.1%,-0.3%,-0.2%
CORE,50+ times,"25,061","25,081","26,214","25,537","24,040","24,129",0.4%,-8.0%,-2.7%,-0.7%
Stair-Climbing Machine,,,,,,,,,,,
Total participation,,"15,025","15,359","11,261","11,786","11,677","12,605",8.0%,11.9%,3.9%,-2.6%
Casual,1-49 times,"9,643","10,059","6,339","7,332","7,569","8,075",6.7%,27.4%,8.5%,-1.4%
CORE,50+ times,"5,382","5,301","4,922","4,453","4,108","4,530",10.3%,-8.0%,-2.3%,-3.1%
Stationary Cycling (Group),,,,,,,,,,,
Total participation,,"9,434","9,930","6,054","5,939","6,268","6,227",-0.7%,2.9%,1.0%,-6.2%
Casual,1-49 times,"6,097","6,583","3,134","3,134","3,925","3,783",-3.6%,20.7%,7.2%,-4.6%
CORE,50+ times,"3,337","3,347","2,920","2,805","2,344","2,444",4.3%,-16.3%,-5.4%,-5.7%
Stationary Cycling (Recumbent/Upright),,,,,,,,,,,
Total participation,,"36,668","37,085","31,287","32,453","32,102","32,628",1.6%,4.3%,1.4%,-2.0%
Casual,1-49 times,"19,282","19,451","13,249","15,124","15,424","15,901",3.1%,20.0%,6.4%,-2.4%
CORE,50+ times,"17,387","17,634","18,038","17,330","16,678","16,728",0.3%,-7.3%,-2.5%,-0.7%
Swimming for Fitness,,,,,,,,,,,
Total participation,,"27,575","28,219","25,666","25,620","26,272","28,173",7.2%,9.8%,3.2%,0.6%
Casual,1-49 times,"18,728","19,480","17,987","17,598","18,827","20,620",9.5%,14.6%,4.8%,2.1%
CORE,50+ times,"8,847","8,739","7,680","8,022","7,445","7,553",1.4%,-1.7%,-0.4%,-2.9%
Treadmill,,,,,,,,,,,
Total participation,,"53,737","56,823","49,832","53,627","53,589","54,829",2.3%,10.0%,3.3%,0.7%
Casual,1-49 times,"25,826","28,473","19,549","25,353","26,401","27,992",6.0%,43.2%,13.3%,3.8%
CORE,50+ times,"27,911","28,349","30,283","28,274","27,189","26,837",-1.3%,-11.4%,-3.9%,-0.7%
Walking for Fitness,,,,,,,,,,,
Total participation,,"111,001","111,439","114,044","115,814","114,759","114,039",-0.6%,0.0%,0.0%,0.5%
Casual,1-49 times,"36,139","36,254","34,742","39,036","38,115","38,169",0.1%,9.9%,3.4%,1.3%
CORE,50+ times,"74,862","75,185","79,302","76,778","76,644","75,871",-1.0%,-4.3%,-1.5%,0.3%
